Indicador;Atual;2024;2023;2022;2021;2020
PL;5.62;4.54;7.57;5.91;25.78;11.90
PSR;0.59;0.47;1.13;0.82;0.95;0.65
PVP;0.91;0.74;1.04;0.91;0.83;0.89
DY;7.86;8.52;6.30;7.23;7.90;1.01
PAYOUT;43.75;35.85;36.45;39.10;162.81;49.35
MARGEM_LIQ;10.55;10.29;14.88;13.84;3.68;5.46
MARGEM_BRUTA;20.09;15.68;24.69;23.98;23.86;1.96
MARGEM_EBIT;0.00;0.00;0.00;0.00;-8.38;
EV_EBIT;5.17;4.04;6.24;3.81;5.15;-36.11
P_EBIT;5.17;4.04;6.24;3.81;5.15;-36.11
P_ATIVO;-1.08;-0.28;-0.13;-0.09;-0.08;-0.10
P_CAP_GIRO;0.97;5.21;-4.85;1.25;-6.54;0.89
VPA;27.39;26.11;24.00;21.28;19.09;17.53
LPA;4.45;4.26;3.31;3.27;0.62;1.32
GIRO_ATIVOS;0.17;0.14;0.09;0.10;0.08;0.14
ROE;16.24;16.30;13.79;15.37;3.23;7.51
ROIC;17.19;17.50;14.66;22.70;15.70;-15.45
ROA;1.78;1.45;1.35;1.41;1.16;0.74
PATR_ATIVOS;0.11;0.09;0.10;0.09;0.09;0.10
PASSIVOS_ATIVOS;0.89;0.91;1.00;0.92;0.92;0.91
LIQ_CORRENTE;1.13;1.02;0.91;3.58;0.72;3.23
CAGR_RECEITA_5A;11.80;30.67;17.85;21.80;15.27;21.38
CAGR_LUCRO_5A;27.57;14.53;14.23;13.36;7.84;-3.68
