Indicador;Atual;2024;2023;2022;2021;2020
PL;13.15;12.82;14.92;15.83;19.18;21.68
PSR;2.33;2.07;2.71;2.87;3.34;4.23
PVP;2.29;1.88;2.74;2.79;2.94;3.34
DY;8.49;5.69;5.32;5.25;4.41;2.64
PAYOUT;103.34;26.73;79.36;83.10;84.62;57.30
MARGEM_LIQ;17.73;16.14;18.19;18.14;17.39;19.49
MARGEM_BRUTA;51.77;51.24;50.72;49.29;51.05;53.64
MARGEM_EBIT;34.19;32.34;31.43;29.63;30.69;36.14
EV_EBITDA;6.27;5.48;8.12;9.22;10.18;11.03
EV_EBIT;8.10;7.28;10.92;12.33;13.42;14.61
P_EBITDA;6.82;6.40;8.63;9.69;10.87;11.69
P_EBIT;8.81;8.49;11.61;12.96;14.33;15.49
P_ATIVO;-2.13;-1.71;-2.25;-2.29;-2.43;-2.75
P_CAP_GIRO;39.32;38.82;-48.72;-84.02;015.77;132.29
VPA;5.84;6.26;5.01;5.20;5.24;4.68
LPA;1.02;0.92;0.92;0.92;0.80;0.72
GIRO_ATIVOS;0.64;0.55;0.60;0.58;0.53;0.47
ROE;17.43;14.64;18.36;17.64;15.33;15.42
ROIC;21.09;16.81;22.52;19.83;19.04;18.02
ROA;11.71;9.14;11.28;10.79;9.47;9.37
DIV_LIQ_EBITDA;-0.55;-0.91;-0.51;-0.47;-0.69;-0.66
DIV_LIQ_EBIT;-0.71;-1.21;-0.69;-0.63;-0.91;-0.88
DIV_BRUTA_PATR;0.03;0.04;0.04;0.05;0.04;0.06
PATR_ATIVOS;0.65;0.61;0.60;0.59;0.60;0.59
PASSIVOS_ATIVOS;0.34;0.39;0.40;0.40;0.39;0.40
LIQ_CORRENTE;1.15;1.10;0.89;0.93;0.99;1.06
CAGR_RECEITA_5A;9.16;11.20;9.68;10.72;9.82;4.56
CAGR_LUCRO_5A;7.04;4.03;5.68;13.84;0.06;-1.85
