Indicador;Atual;2024;2023;2022;2021;2020
PL;-9.08;36.71;-44.01;5.79;;
PSR;0.99;1.14;2.26;2.81;;
PVP;1.01;0.70;1.13;1.01;;
DY;0.48;4.56;22.54;0.68;;
PAYOUT;-4.38;167.43;-991.89;3.93;;
MARGEM_LIQ;-10.91;3.11;-5.14;48.49;;
MARGEM_BRUTA;17.27;17.73;21.56;20.72;;
MARGEM_EBIT;20.38;23.93;27.75;37.29;;
EV_EBITDA;12.65;15.15;10.00;8.81;;
EV_EBIT;25.58;22.63;15.98;13.02;;
P_EBITDA;4.86;4.78;8.15;7.52;;
P_EBIT;9.83;7.13;13.02;11.12;;
P_ATIVO;-0.31;-0.22;-0.61;-0.59;;
P_CAP_GIRO;6.10;2.31;6.70;7.48;;
VPA;11.69;12.57;11.78;14.52;;
LPA;-1.30;0.24;-0.30;2.55;;
GIRO_ATIVOS;0.26;0.15;0.21;0.17;;
ROE;-11.15;1.90;-2.57;17.53;;
ROIC;3.11;2.56;-0.42;4.81;;
ROA;-2.57;0.52;-1.10;8.30;;
DIV_LIQ_EBITDA;7.79;10.37;1.85;1.28;;
DIV_LIQ_EBIT;15.75;15.49;2.96;1.90;;
DIV_BRUTA_PATR;2.04;2.06;0.52;0.39;;
PATR_ATIVOS;0.25;0.25;0.43;0.47;;
PASSIVOS_ATIVOS;0.72;0.73;0.57;0.53;;
LIQ_CORRENTE;1.30;1.56;1.54;1.49;;
