Indicador;Atual;2024;2023;2022;2021;2020
PL;9.65;5.25;4.96;3.33;4.51;8.36
PSR;0.40;0.51;0.60;0.42;0.66;0.91
PVP;0.68;0.77;0.94;0.63;0.58;0.95
DY;5.49;10.75;8.20;11.92;7.84;3.80
PAYOUT;60.75;56.81;40.97;40.04;35.40;31.84
MARGEM_LIQ;4.19;9.64;12.05;12.62;14.57;10.92
MARGEM_BRUTA;32.84;38.21;33.43;31.43;47.38;17.25
MARGEM_EBIT;0.00;0.00;0.00;0.00;2.57;
EV_EBIT;21.66;5.00;3.86;2.60;4.12;12.05
P_EBIT;21.66;5.00;3.86;2.60;4.12;12.05
P_ATIVO;-0.46;-0.51;-0.08;-0.05;-0.04;-0.07
P_CAP_GIRO;3.44;5.22;1.32;1.51;1.58;0.66
VPA;31.78;31.34;59.06;55.47;49.82;40.73
LPA;2.24;4.60;11.17;10.42;6.40;4.64
GIRO_ATIVOS;0.12;0.11;0.12;0.12;0.07;0.07
ROE;7.04;14.67;18.91;18.78;12.85;11.39
ROIC;-2.46;14.61;19.60;18.78;13.23;3.12
ROA;0.63;1.22;1.54;1.49;1.04;0.75
PATR_ATIVOS;0.07;0.07;0.08;0.08;0.08;0.07
PASSIVOS_ATIVOS;0.93;1.00;0.92;0.95;0.96;9.12
LIQ_CORRENTE;1.02;1.01;2.26;24.94;26.58;33.28
CAGR_RECEITA_5A;20.22;16.31;17.13;9.97;-5.60;-7.77
CAGR_LUCRO_5A;3.66;9.08;21.26;22.36;17.89;-3.39
