Indicador;Atual;2024;2023;2022;2021;2020
PL;9.29;7.10;12.65;7.56;9.02;14.36
PSR;0.78;0.57;0.81;0.78;1.80;2.98
PVP;1.13;0.73;1.09;1.01;1.26;1.66
DY;0.0733;0.0964;0.0993;0.0280;0.0534;0.0261
PAYOUT;0.6365;0.5371;0.7123;0.1989;0.6250;0.1409
MARGEM_LIQ;0.0845;0.0805;0.0637;0.1030;0.1997;0.2072
MARGEM_BRUTA;0.3041;0.3270;0.3033;0.3623;0.3680;-0.0298
MARGEM_EBIT;0.0736;0.0788;0.0455;0.1176;0.2413;0.0510
MARGEM_EBITDA;;0.0000;0.0000;0.0571;0.0000;0.0000
EV_EBITDA;;;;12.89;;
EV_EBIT;9.89;6.96;16.79;6.26;6.87;55.13
P_EBITDA;;;;13.65;;
P_EBIT;10.66;7.24;17.73;6.63;7.46;58.30
P_ATIVO;0.09;0.06;0.09;0.09;0.13;0.17
P_CAP_GIRO;0.71;0.47;-1.99;1.53;3.34;1.37
P_ATIVO_CIRC_LIQ;-0.48;-0.32;-0.11;-0.10;-0.14;-0.20
VPA;16.58;15.90;15.70;14.99;15.23;16.37
LPA;2.01;1.63;1.35;2.00;2.13;1.89
GIRO_ATIVOS;0.11;0.10;0.12;0.11;0.07;0.06
ROE;0.1214;0.1024;0.0860;0.1337;0.1398;0.1155
ROIC;0.0885;0.0965;0.0356;0.1337;0.1514;-0.0855
ROA;0.0098;0.0085;0.0075;0.0118;0.0144;0.0121
PATR_ATIVOS;0.08;0.08;0.09;0.09;0.10;0.10
PASSIVOS_ATIVOS;0.92;0.92;0.91;0.76;1.05;1.05
LIQ_CORRENTE;1.19;1.18;0.79;8.86;5.16;11.43
CAGR_RECEITA_5A;0.2587;0.1671;0.1480;0.0837;-0.0881;-0.0697
CAGR_LUCRO_5A;0.0547;-0.0493;-0.0284;0.0415;0.0266;-0.0193
