Indicador;Atual;2024;2023;2022;2021;2020
PL;7.88;8.31;8.47;11.15;10.55;15.39
PVP;5.51;7.46;6.86;8.88;5.70;9.27
DY;12.02;7.28;10.25;5.79;4.80;9.36
PAYOUT;94.72;60.95;87.73;65.05;50.70;144.72
MARGEM_LIQ;0.00;0.00;0.00;0.00;0.00;
MARGEM_BRUTA;0.00;0.00;0.00;0.00;0.00;
MARGEM_EBIT;0.00;0.00;0.00;0.00;0.00;
EV_EBIT;6.44;6.54;7.02;8.71;7.58;11.88
P_EBIT;7.17;7.42;7.56;9.57;8.41;12.39
P_ATIVO;-6.03;-6.18;-5.45;-7.57;-5.07;-8.14
P_CAP_GIRO;14.25;44.45;147.70;94.57;36.84;77.41
VPA;6.43;4.85;4.91;3.80;3.64;3.19
LPA;4.50;4.35;3.97;3.02;1.97;1.93
GIRO_ATIVOS;0.00;0.00;0.00;0.00;0.00;
ROE;69.93;89.77;80.96;79.57;54.02;60.26
ROIC;62.41;83.03;74.97;72.96;52.00;58.54
ROA;44.03;40.26;43.49;37.47;29.54;35.32
DIV_LIQ_EBIT;-0.73;-0.87;-0.53;-0.86;-0.83;-0.51
DIV_BRUTA_PATR;0.00;0.00;0.00;0.00;0.00;
PATR_ATIVOS;0.63;0.45;0.54;0.47;0.55;0.59
PASSIVOS_ATIVOS;0.37;0.55;0.46;0.53;0.45;0.41
LIQ_CORRENTE;2.35;1.20;1.08;1.11;1.28;1.27
CAGR_RECEITA_5A;-100.00;-100.00;-100.00;-100.00;-100.00;
CAGR_LUCRO_5A;18.51;5.50;17.56;8.34;-0.41;
