Indicador;Atual;2024;2023;2022;2021;2020
PL;7.17;5.47;5.32;3.13;1.22;12.42
PVP;0.89;0.77;1.29;1.56;1.31;1.62
DY;15.91;13.82;11.78;11.01;45.09;3.14
PAYOUT;65.52;66.43;64.06;31.66;46.60;53.59
MARGEM_LIQ;0.00;0.00;0.00;0.00;0.00;
MARGEM_BRUTA;0.00;0.00;0.00;0.00;0.00;
MARGEM_EBIT;0.00;0.00;0.00;0.00;0.00;
EV_EBITDA;6.91;5.39;5.21;2.87;1.13;12.17
EV_EBIT;6.91;5.39;5.16;2.93;1.13;12.17
P_EBITDA;7.72;5.74;5.52;3.13;1.23;12.47
P_EBIT;7.72;5.74;5.46;3.20;1.23;12.47
P_ATIVO;-0.93;-0.79;-1.32;-1.58;-1.35;-1.67
P_CAP_GIRO;18.30;27.25;53.01;177.48;40.15;47.93
VPA;23.21;21.58;19.93;19.02;19.09;39.35
LPA;2.87;3.03;4.82;9.48;20.55;5.13
GIRO_ATIVOS;0.00;0.00;0.00;0.00;0.00;
ROE;12.38;14.05;24.21;49.86;107.68;13.03
ROIC;11.43;13.37;22.62;47.90;106.86;12.98
ROA;12.25;13.85;24.04;46.24;106.96;12.99
DIV_LIQ_EBITDA;-0.51;-0.25;-0.13;-0.11;-0.04;-0.04
DIV_LIQ_EBIT;-0.51;-0.25;-0.13;-0.11;-0.04;-0.04
DIV_BRUTA_PATR;0.00;0.00;0.00;0.00;0.00;
PATR_ATIVOS;0.99;0.99;0.99;0.93;0.99;1.00
PASSIVOS_ATIVOS;0.01;0.01;0.007153;0.07;0.006753;0.003809
LIQ_CORRENTE;5.95;2.97;4.40;1.11;5.89;11.80
CAGR_RECEITA_5A;-100.00;-100.00;-100.00;-100.00;-100.00;-100.00
CAGR_LUCRO_5A;-5.10;9.76;9.87;66.61;;
