Indicador;Atual;2024;2023;2022;2021;2020
PL;11.43;7.12;10.32;8.56;13.31;
PSR;6.19;3.78;4.77;3.22;5.03;
PVP;2.44;1.71;1.95;1.57;2.41;
DY;10.02;14.84;8.66;11.51;0.00;
PAYOUT;160.54;99.21;89.37;98.54;0.00;
MARGEM_LIQ;54.18;53.09;46.22;37.58;37.78;
MARGEM_BRUTA;100.00;100.00;100.00;81.26;100.00;
MARGEM_EBIT;0.00;0.00;17.17;0.00;;
EV_EBIT;340.98;-645.84;-1.57;-3.76;-4.21;
P_EBIT;510.18;59.90;8.00;5.41;8.43;
P_ATIVO;-13.82;-8.99;-0.15;-1.73;-48.28;
P_CAP_GIRO;2.96;2.12;-13.49;3.18;2.36;
VPA;7.71;7.66;7.82;7.66;7.31;
LPA;1.64;1.84;1.48;1.40;1.32;
GIRO_ATIVOS;0.02;0.02;0.03;0.05;0.12;
ROE;21.33;24.07;18.89;18.28;18.07;
ROIC;-6.49;-2.82;20.59;1.02;4.96;
ROA;1.02;1.29;1.44;1.87;4.55;
DIV_LIQ_EBIT;340.98;-645.84;-1.57;-3.76;-4.21;
DIV_BRUTA_PATR;0.00;0.00;8.57;2.65;;
PATR_ATIVOS;0.05;0.05;0.08;0.10;0.25;
PASSIVOS_ATIVOS;0.95;0.95;0.92;0.90;0.75;
LIQ_CORRENTE;1.04;1.05;0.76;1.06;1.35;
