Indicador;Atual;2024;2023;2022;2021;2020
PL;4.86;5.74;5.40;4.71;7.80;8.19
PSR;0.29;0.25;0.37;0.30;0.50;0.72
PVP;0.56;0.40;0.55;0.42;0.46;0.71
DY;7.75;9.75;6.87;9.09;8.90;4.51
PAYOUT;43.92;55.94;37.10;42.80;81.37;29.78
MARGEM_LIQ;6.07;4.36;6.79;6.47;6.46;8.84
MARGEM_BRUTA;29.43;33.15;31.00;30.36;58.44;63.68
MARGEM_EBIT;0.00;0.00;0.00;0.00;6.61;
EV_EBIT;4.02;5.88;4.73;5.50;4.02;6.60
P_EBIT;3.84;5.48;4.64;5.22;3.69;6.34
P_ATIVO;-0.73;-0.03;-0.05;-0.04;-0.04;-0.07
P_CAP_GIRO;0.59;-47.15;1.13;2.48;2.63;1.49
VPA;27.14;25.47;24.11;23.26;22.11;20.40
LPA;3.11;1.78;2.47;2.06;1.29;1.78
GIRO_ATIVOS;0.13;0.11;0.12;0.11;0.08;0.09
ROE;11.44;6.98;10.26;8.85;5.85;8.72
ROIC;11.45;6.99;10.27;7.13;11.88;10.11
ROA;0.80;0.49;0.81;0.74;0.96;0.79
PATR_ATIVOS;0.07;0.07;0.08;0.08;0.09;0.09
PASSIVOS_ATIVOS;0.93;0.93;0.92;0.92;0.93;0.93
LIQ_CORRENTE;1.07;0.95;1.73;1.87;1.33;2.34
CAGR_RECEITA_5A;20.55;12.94;12.01;6.91;-4.75;-3.18
CAGR_LUCRO_5A;11.80;-11.55;-0.70;-4.37;8.57;-3.04
