Indicador;Atual;2024;2023;2022;2021;2020
PL;7.87;4.47;4.38;5.99;5.92;7.72
PSR;0.75;0.80;0.69;0.71;0.66;0.88
PVP;1.10;1.16;1.03;1.13;1.14;1.27
DY;0.1334;0.1283;0.1124;0.1375;0.0897;0.0422
PAYOUT;0.9845;0.7705;0.3218;0.7027;0.4407;0.2779
MARGEM_LIQ;0.0947;0.1787;0.1564;0.1188;0.1115;0.1135
MARGEM_BRUTA;0.1798;0.2065;0.2275;0.1976;0.1998;0.2134
MARGEM_EBIT;0.1362;0.2481;0.1962;0.1650;0.2066;0.1866
MARGEM_EBITDA;0.1709;0.2826;0.2308;0.1993;0.2378;0.2258
EV_EBITDA;6.59;4.02;4.17;5.18;4.26;5.80
EV_EBIT;8.27;4.57;4.91;6.26;4.90;7.02
P_EBITDA;4.36;2.83;2.97;3.57;2.78;3.88
P_EBIT;5.48;3.22;3.50;4.31;3.19;4.70
P_ATIVO;0.49;0.53;0.46;0.46;0.43;0.41
P_CAP_GIRO;-19.33;-16.62;-20.65;10.85;9.82;3.83
P_ATIVO_CIRC_LIQ;-0.61;-0.67;-0.59;-0.61;-0.57;-0.57
VPA;10.04;9.57;11.20;9.89;11.49;11.50
LPA;1.40;2.49;2.62;1.86;2.22;1.89
GIRO_ATIVOS;0.66;0.67;0.67;0.64;0.65;0.47
ROE;0.1399;0.2600;0.2339;0.1879;0.1928;0.1639
ROIC;0.1180;0.1927;0.1782;0.1750;0.1949;0.1160
ROA;0.0621;0.1192;0.1049;0.0763;0.0721;0.0530
DIV_LIQ_PATR;0.46;;;;;
DIV_LIQ_EBITDA;1.81;0.89;0.88;1.08;1.10;1.75
DIV_LIQ_EBIT;2.27;1.01;1.04;1.30;1.27;2.12
DIV_BRUTA_PATR;0.54;0.45;0.40;0.49;0.58;0.86
PATR_ATIVOS;0.44;0.46;0.45;0.41;0.37;0.32
PASSIVOS_ATIVOS;0.56;0.54;0.55;0.59;0.63;0.68
LIQ_CORRENTE;0.89;0.86;0.91;1.20;1.21;1.60
CAGR_RECEITA_5A;0.1096;0.0942;0.1060;0.0968;0.1238;0.0345
CAGR_LUCRO_5A;0.0702;0.1788;0.2706;0.3253;0.6215;0.0302
