Indicador;Atual;2024;2023;2022;2021;2020
PL;12.08;6.24;12.04;7.59;5.80;11.56
PSR;1.46;1.48;2.27;1.69;1.94;3.38
PVP;2.96;2.75;4.01;1.96;2.64;4.40
DY;8.37;14.35;9.92;22.58;6.95;0.00
PAYOUT;221.28;99.16;109.68;184.33;32.90;0.00
MARGEM_LIQ;12.07;23.78;18.90;22.23;33.46;29.26
MARGEM_BRUTA;54.42;58.15;47.89;46.63;57.94;60.26
MARGEM_EBIT;32.07;32.56;37.49;43.26;53.68;54.64
EV_EBITDA;3.88;3.74;5.84;4.19;3.01;5.97
EV_EBIT;4.80;4.62;6.85;5.06;3.25;7.14
P_EBITDA;4.55;4.56;6.07;3.90;3.62;6.19
P_EBIT;5.63;5.63;7.12;4.71;3.90;7.40
P_ATIVO;-1.53;-1.52;-2.57;-1.45;-2.60;-3.58
P_CAP_GIRO;3.52;2.75;6.21;4.50;5.90;23.32
VPA;1.84;1.87;1.95;2.08;2.55;1.93
LPA;0.45;0.83;0.65;0.54;1.16;0.74
GIRO_ATIVOS;0.56;0.52;0.64;0.53;0.71;0.70
ROE;24.47;44.09;33.36;25.89;45.51;38.05
ROIC;22.21;18.39;25.42;18.81;35.46;38.11
ROA;6.80;12.44;12.02;11.78;23.60;20.56
DIV_LIQ_EBITDA;-0.67;-0.82;-0.23;0.29;-0.61;-0.22
DIV_LIQ_EBIT;-0.82;-1.01;-0.27;0.35;-0.66;-0.26
DIV_BRUTA_PATR;0.91;0.99;0.76;0.74;0.34;0.12
PATR_ATIVOS;0.28;0.28;0.36;0.45;0.52;0.54
PASSIVOS_ATIVOS;0.72;0.72;0.64;0.55;0.48;0.46
LIQ_CORRENTE;2.02;2.36;2.14;2.07;1.96;1.43
CAGR_RECEITA_5A;8.22;10.69;;;;
CAGR_LUCRO_5A;-9.34;4.32;;;;
