Indicador;Atual;2024;2023;2022;2021;2020
PL;10.70;6.67;8.03;7.50;6.51;10.29
PSR;1.31;0.85;1.12;0.97;0.79;1.21
PVP;2.57;1.76;2.35;2.35;2.04;2.69
DY;5.57;8.72;7.49;9.77;13.80;5.53
PAYOUT;72.16;58.14;60.16;73.26;89.83;56.96
MARGEM_LIQ;12.25;12.80;13.91;12.96;12.11;11.79
MARGEM_BRUTA;31.43;31.83;34.33;30.08;23.61;22.40
MARGEM_EBIT;29.58;30.62;32.28;31.16;23.36;21.94
EV_EBITDA;6.17;4.72;5.09;4.81;5.52;7.46
EV_EBIT;7.41;5.69;6.17;5.77;6.82;9.89
P_EBITDA;4.43;2.79;3.46;3.12;3.38;5.53
P_EBIT;5.32;3.36;4.19;3.74;4.17;7.33
P_ATIVO;-0.91;-0.60;-0.78;-0.68;-0.61;-1.06
P_CAP_GIRO;573.24;-44.44;-25.94;127.15;11.72;-63.11
VPA;19.67;17.99;16.38;14.11;13.14;12.09
LPA;4.73;4.74;4.80;4.43;4.12;3.16
GIRO_ATIVOS;0.54;0.55;0.53;0.55;0.59;0.63
ROE;24.04;26.33;29.28;31.37;31.35;26.14
ROIC;16.51;17.17;17.86;19.53;15.03;12.26
ROA;6.98;7.47;7.39;7.34;7.34;7.55
DIV_LIQ_EBITDA;1.74;1.93;1.63;1.69;2.14;1.93
DIV_LIQ_EBIT;2.09;2.33;1.98;2.03;2.65;2.56
DIV_BRUTA_PATR;1.27;1.39;1.40;1.56;1.48;1.35
PATR_ATIVOS;0.27;0.27;0.25;0.23;0.23;0.28
PASSIVOS_ATIVOS;0.71;0.72;0.73;0.75;0.75;0.71
LIQ_CORRENTE;1.01;0.95;0.91;1.02;1.20;0.96
CAGR_RECEITA_5A;7.56;7.33;7.15;8.03;15.46;8.87
CAGR_LUCRO_5A;9.18;15.96;20.65;33.23;40.74;33.47
