Indicador;Atual;2024;2023;2022;2021;2020
PL;12.29;6.01;5.65;7.07;8.99;7.63
PSR;2.03;1.00;1.05;0.97;0.82;1.17
PVP;1.93;0.98;1.03;0.82;0.71;0.97
DY;6.14;13.31;14.13;2.45;7.43;17.01
PAYOUT;49.60;76.34;73.09;17.33;66.82;331.25
MARGEM_LIQ;16.55;16.72;18.63;13.65;9.12;15.28
MARGEM_BRUTA;42.25;42.82;41.35;37.49;36.46;44.99
MARGEM_EBIT;35.08;35.49;34.83;32.10;27.07;36.06
EV_EBITDA;7.89;4.73;4.46;4.53;4.71;4.78
EV_EBIT;11.56;6.62;6.43;7.17;8.87;7.19
P_EBITDA;5.80;2.83;3.02;3.01;3.03;3.23
P_EBIT;8.49;3.97;4.35;4.76;5.71;4.87
P_ATIVO;-1.14;-0.60;-0.67;-0.56;-0.48;-0.64
P_CAP_GIRO;50.45;10.80;14.64;11.64;7.41;10.12
VPA;22.65;21.17;19.92;19.08;17.78;16.98
LPA;3.55;3.46;3.63;2.22;1.41;2.15
GIRO_ATIVOS;0.49;0.51;0.52;0.47;0.46;0.45
ROE;15.68;16.36;18.21;11.63;7.95;12.65
ROIC;10.59;11.57;11.22;9.21;6.79;9.69
ROA;8.05;8.49;9.72;6.39;4.23;6.94
DIV_LIQ_EBITDA;2.09;1.89;1.44;1.52;1.68;1.54
DIV_LIQ_EBIT;3.07;2.65;2.07;2.41;3.16;2.32
DIV_BRUTA_PATR;0.77;0.76;0.63;0.57;0.59;0.59
PATR_ATIVOS;0.51;0.52;0.53;0.55;0.53;0.55
PASSIVOS_ATIVOS;0.49;0.48;0.47;0.45;0.47;0.45
LIQ_CORRENTE;1.17;1.44;1.26;1.26;1.34;1.44
CAGR_RECEITA_5A;8.84;8.84;9.34;7.38;7.89;6.86
CAGR_LUCRO_5A;10.59;11.79;18.97;8.52;4.37;
