Indicador;Atual;2024;2023;2022;2021;2020
PL;-7.82;-4.53;-81.93;12.42;2.70;11.13
PSR;0.27;0.27;0.57;0.43;0.69;1.40
PVP;0.86;0.96;1.49;0.99;1.63;4.26
DY;14.30;9.97;17.74;7.69;0.03;
PAYOUT;-64.82;036.74;175.15;20.78;0.31;
MARGEM_LIQ;-3.42;-5.93;-0.70;3.50;25.59;12.62
MARGEM_BRUTA;27.54;26.77;26.33;30.00;46.07;36.39
MARGEM_EBIT;21.19;18.45;18.80;18.18;47.50;28.81
EV_EBITDA;4.87;5.51;6.24;5.98;2.04;7.36
EV_EBIT;8.45;10.41;10.29;6.31;2.26;11.16
P_EBITDA;1.26;1.46;3.05;2.39;1.46;4.88
P_EBIT;2.19;2.75;5.03;2.52;1.61;7.39
P_ATIVO;-0.18;-0.18;-0.45;-0.35;-0.75;-1.07
P_CAP_GIRO;1.52;0.80;3.23;2.37;3.18;4.88
VPA;10.66;9.25;13.20;14.70;15.32;7.48
LPA;-1.17;-1.95;-0.24;1.17;9.24;2.86
GIRO_ATIVOS;0.45;0.42;0.50;0.52;0.60;0.48
ROE;-11.00;-21.12;-1.82;7.97;60.36;38.27
ROIC;8.31;6.16;7.30;9.41;29.42;11.26
ROA;-0.86;-1.48;0.44;2.54;17.13;6.81
DIV_LIQ_EBITDA;3.61;4.06;3.19;3.59;0.58;2.49
DIV_LIQ_EBIT;6.26;7.66;5.26;3.79;0.64;3.77
DIV_BRUTA_PATR;3.69;4.64;2.56;2.10;1.60;3.56
PATR_ATIVOS;0.14;0.12;0.19;0.23;0.26;0.16
PASSIVOS_ATIVOS;0.83;0.85;0.78;0.74;0.71;0.82
LIQ_CORRENTE;1.32;1.58;1.32;1.36;1.43;1.59
CAGR_RECEITA_5A;8.60;11.42;14.62;19.08;22.81;14.42
CAGR_LUCRO_5A;-40.05;81.12;;;;
