Indicador;Atual;2024;2023;2022;2021;2020
PL;11.30;8.28;11.50;11.82;6.94;845.26
PSR;1.96;1.37;1.92;1.73;1.20;2.80
PVP;7.11;4.91;6.41;5.19;3.34;5.93
DY;14.49;9.55;6.30;4.07;8.37;0.00
PAYOUT;160.32;79.07;72.43;48.12;58.10;0.00
MARGEM_LIQ;17.37;16.55;16.69;14.61;17.24;0.01
MARGEM_BRUTA;39.45;38.53;37.97;37.08;37.09;-59.67
MARGEM_EBIT;23.61;21.67;21.08;5.83;8.16;0.00
EV_EBITDA;7.94;5.82;8.49;27.30;17.43;
EV_EBIT;8.18;6.04;8.86;8.36;6.56;930.33
P_EBITDA;8.32;6.32;9.11;29.65;14.67;
P_EBIT;8.57;6.56;9.51;9.08;5.52;929.11
P_ATIVO;-4.43;-3.33;-6.30;-5.31;-2.87;-11.05
P_CAP_GIRO;5.79;3.64;4.93;3.92;2.74;4.27
VPA;4.50;3.56;2.81;2.44;2.02;1.75
LPA;2.83;2.11;1.56;1.07;0.97;0.000552
GIRO_ATIVOS;0.89;0.90;0.93;0.81;0.67;0.70
ROE;62.90;59.32;55.70;43.88;48.13;0.03
ROIC;37.83;35.06;34.50;30.25;33.53;0.04
ROA;17.27;16.10;16.05;12.45;12.14;0.01
DIV_LIQ_EBITDA;-0.38;-0.51;-0.62;-2.34;2.76;
DIV_LIQ_EBIT;-0.39;-0.52;-0.65;-0.72;1.04;1.22
DIV_BRUTA_PATR;0.96;0.90;0.71;0.64;0.63;0.000519
PATR_ATIVOS;0.25;0.25;0.28;0.27;0.24;0.33
PASSIVOS_ATIVOS;0.71;0.70;0.68;0.69;0.72;0.61
LIQ_CORRENTE;2.00;2.18;2.03;1.93;1.68;2.25
