Indicador;Atual;2024;2023;2022;2021;2020
PL;11.13;11.35;10.80;8.48;13.23;0.00
PVP;3.62;3.32;3.07;2.30;2.38;0.00
DY;7.90;7.47;7.75;7.77;2.93;0.00
PAYOUT;86.30;86.08;84.61;65.89;38.70;0.00
MARGEM_LIQ;0.00;0.00;0.00;0.00;0.00;
MARGEM_BRUTA;0.00;0.00;0.00;0.00;0.00;
MARGEM_EBIT;0.00;0.00;0.00;0.00;0.00;
EV_EBIT;9.98;9.84;9.58;7.27;11.12;-0.00
P_EBIT;10.20;10.12;9.79;7.54;11.47;0.00
P_ATIVO;-3.85;-3.55;-3.09;-2.49;-2.59;0.00
P_CAP_GIRO;59.10;51.01;783.02;29.48;28.62;0.00
VPA;4.50;4.30;4.20;3.63;3.52;3.03
LPA;1.46;1.26;1.19;0.98;0.63;0.59
GIRO_ATIVOS;0.00;0.00;0.00;0.00;0.00;
ROE;32.48;29.21;28.46;27.12;17.96;19.44
ROIC;31.27;28.33;27.56;25.79;17.86;19.28
ROA;29.99;26.85;25.58;25.22;17.80;18.67
DIV_LIQ_EBIT;-0.23;-0.29;-0.22;-0.28;-0.35;-0.00
DIV_BRUTA_PATR;0.00;0.00;0.00;0.00;0.00;
PATR_ATIVOS;0.92;0.92;0.90;0.93;0.99;0.96
PASSIVOS_ATIVOS;0.08;0.08;0.10;0.07;0.009043;0.04
LIQ_CORRENTE;1.75;1.74;1.03;2.04;10.21;2.46
CAGR_RECEITA_5A;-100.00;-100.00;;;;
CAGR_LUCRO_5A;19.96;9.23;;;;
