Indicador;Atual;2024;2023;2022;2021;2020
PL;9.36;7.23;11.72;12.99;13.82;20.09
PSR;1.76;1.38;1.65;1.25;1.24;1.51
PVP;2.91;2.29;1.99;2.04;1.68;1.89
DY;19.73;7.74;2.10;7.48;5.43;6.19
PAYOUT;191.47;56.26;36.63;39.05;75.05;124.30
MARGEM_LIQ;18.79;19.06;14.08;9.66;8.98;7.53
MARGEM_BRUTA;38.74;36.39;34.18;35.22;36.43;34.82
MARGEM_EBIT;24.99;24.64;20.47;21.15;21.06;17.51
EV_EBITDA;7.25;5.62;8.09;6.44;9.31;12.72
EV_EBIT;7.85;6.14;9.23;7.29;10.78;15.10
P_EBITDA;7.04;5.59;8.06;5.93;5.89;8.64
P_EBIT;7.62;6.11;9.19;6.72;6.83;10.26
P_ATIVO;-1.05;-0.84;-0.97;-0.74;-0.78;-0.93
P_CAP_GIRO;1.70;1.51;1.53;1.46;0.93;1.08
VPA;4.70;11.62;11.26;7.66;7.56;6.94
LPA;1.46;3.68;1.91;1.20;0.92;0.65
GIRO_ATIVOS;0.33;0.33;0.31;0.33;0.31;0.29
ROE;31.05;31.67;16.97;15.70;12.16;9.38
ROIC;16.52;18.92;11.30;13.02;11.10;8.36
ROA;7.24;7.23;5.11;4.23;3.68;2.94
DIV_LIQ_EBITDA;0.22;0.02;0.04;0.51;3.41;4.07
DIV_LIQ_EBIT;0.23;0.02;0.04;0.58;3.95;4.84
DIV_BRUTA_PATR;1.09;0.81;0.69;1.07;0.97;0.89
PATR_ATIVOS;0.20;0.20;0.26;0.20;0.23;0.24
PASSIVOS_ATIVOS;0.78;0.78;0.72;0.77;0.74;0.74
LIQ_CORRENTE;3.93;3.03;3.44;2.88;5.75;4.66
CAGR_RECEITA_5A;21.91;18.09;15.10;23.53;5.52;-0.89
CAGR_LUCRO_5A;43.05;43.21;-0.79;;;
