Indicador;Atual;2024;2023;2022;2021;2020
PL;11.51;6.77;10.78;11.61;20.04;12.82
PSR;2.75;2.58;3.44;2.60;2.50;2.92
PVP;2.84;2.57;4.17;3.66;3.95;4.63
DY;0.0709;0.0752;0.0640;0.0789;0.0466;0.0392
PAYOUT;0.3898;0.2663;0.7063;0.8633;1.7946;0.4460
MARGEM_LIQ;0.2387;0.3815;0.3191;0.2237;0.1247;0.2282
MARGEM_BRUTA;0.4847;0.5443;0.5496;0.4694;0.4714;0.4457
MARGEM_EBIT;0.5093;0.6848;0.5918;0.4872;0.3906;0.4543
MARGEM_EBITDA;0.6114;0.7803;0.6778;0.5703;0.4737;0.5290
EV_EBITDA;7.62;5.56;7.12;6.78;7.80;7.41
EV_EBIT;9.15;6.33;8.15;7.94;9.46;8.63
P_EBITDA;4.49;3.31;5.08;4.55;5.28;5.53
P_EBIT;5.39;3.77;5.82;5.33;6.40;6.44
P_ATIVO;0.62;0.58;0.88;0.81;0.82;1.02
P_CAP_GIRO;56.63;-388.09;13.21;20.77;11.43;15.24
P_ATIVO_CIRC_LIQ;-0.72;-0.67;-1.11;-1.00;-1.06;-1.31
VPA;10.77;13.81;10.86;10.34;9.72;9.49
LPA;2.66;5.24;4.20;3.26;1.92;3.43
GIRO_ATIVOS;0.22;0.22;0.25;0.31;0.33;0.35
ROE;0.2466;0.3798;0.3870;0.3157;0.1972;0.3614
ROIC;0.1373;0.1798;0.1861;0.2008;0.1655;0.1910
ROA;0.0570;0.0859;0.0812;0.0698;0.0411;0.0795
DIV_LIQ_EBITDA;3.13;2.25;2.04;2.23;2.52;1.89
DIV_LIQ_EBIT;3.76;2.56;2.33;2.61;3.06;2.19
DIV_BRUTA_PATR;2.35;2.10;2.27;2.06;2.54;2.17
PATR_ATIVOS;0.22;0.22;0.21;0.22;0.21;0.22
PASSIVOS_ATIVOS;0.76;0.75;0.77;0.78;0.79;0.78
LIQ_CORRENTE;1.08;0.99;1.46;1.25;1.47;1.44
CAGR_RECEITA_5A;0.0073;0.0273;0.0409;0.1118;0.1425;0.1349
CAGR_LUCRO_5A;0.0287;0.1324;0.0817;0.0586;0.0022;0.1325
