Indicador;Atual;2024;2023;2022;2021;2020
PL;8.54;25.46;7.59;8.78;5.70;163.76
PSR;0.81;0.45;0.55;0.40;0.58;1.80
PVP;0.77;0.60;0.84;0.48;0.58;1.11
DY;10.26;16.85;6.14;3.28;12.61;1.20
PAYOUT;85.56;548.43;37.20;0.00;71.86;196.60
MARGEM_LIQ;9.48;1.75;7.26;4.50;10.16;1.10
MARGEM_BRUTA;25.56;26.30;21.74;22.54;27.77;36.16
MARGEM_EBIT;9.59;5.53;10.17;5.87;11.93;5.72
EV_EBITDA;10.09;11.17;6.73;5.32;6.01;37.44
EV_EBIT;10.32;11.53;6.95;5.77;6.15;10.50
P_EBITDA;8.44;8.07;5.42;6.73;4.85;31.50
P_EBIT;8.64;8.33;5.60;7.30;4.97;8.84
P_ATIVO;-1.07;-1.17;-0.90;-0.57;-0.83;-1.74
P_CAP_GIRO;0.53;0.33;0.43;0.30;0.65;1.12
VPA;9.90;9.00;9.73;9.56;11.30;10.81
LPA;0.89;0.21;1.08;0.52;1.16;0.07
GIRO_ATIVOS;0.38;0.46;0.41;0.35;0.38;0.26
ROE;9.03;2.34;11.10;5.46;10.24;0.68
ROIC;4.10;2.80;6.70;2.58;8.68;9.15
ROA;4.51;3.13;4.68;2.91;4.83;1.03
DIV_LIQ_EBITDA;1.65;3.10;1.30;-1.41;1.15;5.94
DIV_LIQ_EBIT;1.69;3.20;1.35;-1.53;1.18;1.67
DIV_BRUTA_PATR;0.56;0.65;0.68;0.41;0.14;0.21
PATR_ATIVOS;0.40;0.35;0.27;0.29;0.38;0.42
PASSIVOS_ATIVOS;0.55;0.60;0.61;0.59;0.56;0.52
LIQ_CORRENTE;5.14;4.32;3.27;2.48;1.88;2.30
CAGR_RECEITA_5A;7.17;4.66;15.06;10.85;5.48;-9.56
CAGR_LUCRO_5A;33.44;2.60;48.30;-18.59;;
