Indicador;Atual;2024;2023;2022;2021;2020
PL;11.57;8.83;10.73;4.44;6.70;24.18
PSR;1.06;1.29;1.69;1.50;1.80;1.04
PVP;0.73;0.87;1.29;1.55;1.82;0.96
DY;10.56;6.43;5.89;10.18;1.72;4.77
PAYOUT;106.31;55.03;61.32;43.88;17.22;67.39
MARGEM_LIQ;9.19;14.64;15.71;33.84;26.90;4.30
MARGEM_BRUTA;17.26;21.07;24.87;46.29;43.25;27.37
MARGEM_EBIT;12.57;16.79;18.70;40.85;38.35;24.72
EV_EBITDA;7.90;7.57;8.86;3.42;4.75;5.73
EV_EBIT;34.51;16.54;13.28;3.78;5.44;8.24
P_EBITDA;8.46;7.70;9.02;3.68;4.70;4.21
P_EBIT;36.93;16.82;13.51;4.07;5.38;6.05
P_ATIVO;-0.98;-1.09;-1.62;-1.99;-2.16;-0.83
P_CAP_GIRO;2.00;2.65;3.78;3.97;4.65;4.81
VPA;9.59;9.45;36.13;34.43;26.83;20.00
LPA;0.61;0.93;4.33;12.03;7.28;0.79
GIRO_ATIVOS;0.55;0.51;0.59;0.77;0.70;0.58
ROE;6.34;9.81;11.99;34.95;27.13;3.95
ROIC;1.55;4.36;7.71;28.99;26.75;12.08
ROA;5.08;7.47;9.31;26.12;18.93;2.48
DIV_LIQ_EBITDA;-2.42;-1.13;-1.17;-0.41;-0.21;0.61
DIV_LIQ_EBIT;-10.57;-2.48;-1.76;-0.46;-0.25;0.88
DIV_BRUTA_PATR;0.05;0.13;0.09;0.11;0.17;0.30
PATR_ATIVOS;0.80;0.76;0.78;0.75;0.70;0.63
PASSIVOS_ATIVOS;0.20;0.24;0.22;0.25;0.30;0.37
LIQ_CORRENTE;3.76;2.68;3.17;3.35;2.95;1.83
CAGR_RECEITA_5A;7.60;11.82;12.01;23.14;16.87;11.62
CAGR_LUCRO_5A;25.18;8.15;4.37;31.49;55.73;-16.62
