Indicador;Atual;2024;2023;2022;2021;2020
PL;13.56;10.72;23.29;26.15;26.79;54.80
PSR;1.01;0.86;1.53;1.80;2.42;4.74
PVP;1.51;1.25;1.94;3.00;5.08;8.04
DY;11.44;5.79;2.41;6.50;5.32;2.73
PAYOUT;111.64;62.07;56.15;169.97;142.62;149.42
MARGEM_LIQ;7.44;8.02;6.55;6.90;9.04;8.65
MARGEM_BRUTA;26.88;27.89;26.89;27.11;29.10;27.25
MARGEM_EBIT;25.69;25.74;24.59;26.66;27.27;28.18
EV_EBITDA;5.37;4.88;8.29;8.76;10.92;17.84
EV_EBIT;9.22;8.06;14.40;14.18;17.27;31.22
P_EBITDA;3.93;3.34;6.20;6.77;8.88;16.81
P_EBIT;6.74;5.51;10.78;10.95;14.05;29.42
P_ATIVO;-0.93;-0.76;-1.12;-1.49;-2.16;-3.86
P_CAP_GIRO;3.06;2.51;8.84;6.96;17.50;18.28
VPA;9.86;9.67;9.29;5.15;3.54;3.36
LPA;1.10;1.13;0.77;0.59;0.67;0.49
GIRO_ATIVOS;0.59;0.59;0.56;0.57;0.64;0.54
ROE;11.13;11.65;8.34;11.48;18.96;14.68
ROIC;9.49;9.50;8.64;10.04;10.90;10.81
ROA;4.26;4.62;3.63;3.96;5.79;4.65
DIV_LIQ_EBITDA;1.44;1.54;2.08;1.99;2.04;1.03
DIV_LIQ_EBIT;2.48;2.55;3.62;3.22;3.22;1.80
DIV_BRUTA_PATR;1.02;1.02;0.83;1.37;1.60;1.09
PATR_ATIVOS;0.40;0.40;0.44;0.34;0.30;0.32
PASSIVOS_ATIVOS;0.60;0.59;0.56;0.65;0.69;0.68
LIQ_CORRENTE;2.21;2.51;1.66;1.94;1.44;1.69
CAGR_RECEITA_5A;22.12;21.48;19.42;13.37;13.06;9.42
CAGR_LUCRO_5A;17.65;14.09;4.88;-0.75;8.97;19.07
