Indicador;Atual;2024;2023;2022;2021;2020
PL;11.40;6.59;4.21;3.45;2.15;12.82
PSR;0.17;0.15;0.16;0.16;0.14;0.26
PVP;0.62;0.51;0.64;0.78;0.77;0.96
DY;4.41;4.39;14.64;9.64;20.39;1.60
PAYOUT;37.88;28.95;61.71;33.23;45.63;10.24
MARGEM_LIQ;1.51;2.30;3.72;4.54;6.70;1.99
MARGEM_BRUTA;11.68;13.73;16.44;22.75;26.57;13.54
MARGEM_EBIT;13.04;15.82;19.53;23.55;29.46;17.19
EV_EBITDA;2.27;1.46;1.20;0.97;0.76;2.53
EV_EBIT;3.74;2.06;1.55;1.06;0.83;3.68
P_EBITDA;1.32;0.96;0.80;0.66;0.49;1.49
P_EBIT;2.17;1.36;1.04;0.73;0.54;2.16
P_ATIVO;-0.22;-0.19;-0.24;-0.30;-0.27;-0.28
P_CAP_GIRO;0.57;0.47;0.59;0.69;0.58;0.83
VPA;14.62;20.16;16.87;16.56;14.84;11.77
LPA;0.79;1.55;2.58;3.76;5.28;0.88
GIRO_ATIVOS;0.80;0.77;0.92;1.10;1.05;0.68
ROE;5.42;7.71;15.28;22.72;35.60;7.46
ROIC;11.88;19.62;31.00;45.69;56.45;13.96
ROA;3.47;5.30;10.08;15.33;20.85;3.68
DIV_LIQ_EBITDA;0.96;0.50;0.39;0.32;0.28;1.12
DIV_LIQ_EBIT;1.59;0.70;0.50;0.35;0.31;1.62
DIV_BRUTA_PATR;0.96;0.68;0.65;0.77;0.95;1.50
PATR_ATIVOS;0.22;0.23;0.22;0.22;0.20;0.18
PASSIVOS_ATIVOS;0.37;0.33;0.34;0.37;0.42;0.50
LIQ_CORRENTE;2.71;3.01;2.61;2.39;2.38;2.16
CAGR_RECEITA_5A;9.73;11.07;8.35;17.42;15.78;0.11
CAGR_LUCRO_5A;4.93;30.96;27.62;;;
