Indicador;Atual;2024;2023;2022;2021;2020
PL;6.24;4.33;6.15;6.70;5.31;5.45
PSR;2.05;1.90;2.81;2.78;2.89;4.96
PVP;0.87;0.77;1.00;0.94;1.11;1.33
DY;11.11;0.00;8.32;4.62;14.76;6.26
PAYOUT;63.32;41.51;24.64;5.06;96.04;20.89
MARGEM_LIQ;32.78;43.91;45.71;41.50;54.55;90.94
MARGEM_BRUTA;40.72;46.91;59.67;60.17;74.48;69.27
MARGEM_EBIT;46.14;64.88;63.83;64.54;80.44;120.33
EV_EBITDA;7.84;5.22;6.87;6.68;5.51;4.66
EV_EBIT;7.90;5.25;6.92;6.73;5.53;4.68
P_EBITDA;4.43;2.93;4.40;4.31;3.60;4.12
P_EBIT;4.47;2.95;4.43;4.34;3.61;4.14
P_ATIVO;-0.47;-0.43;-0.58;-0.55;-0.63;-0.96
P_CAP_GIRO;3.33;3.24;4.94;4.49;6.36;4.43
VPA;31.73;29.92;26.38;24.55;21.85;20.88
LPA;4.44;5.31;4.31;3.43;4.58;5.10
GIRO_ATIVOS;0.20;0.18;0.17;0.17;0.19;0.15
ROE;13.99;17.75;16.35;13.98;20.96;24.44
ROIC;10.97;13.69;13.94;12.93;16.39;19.64
ROA;6.54;8.20;8.05;7.19;10.48;13.75
DIV_LIQ_EBITDA;3.01;1.91;1.89;1.93;1.55;0.45
DIV_LIQ_EBIT;3.04;1.92;1.90;1.95;1.55;0.46
DIV_BRUTA_PATR;0.71;0.67;0.53;0.50;0.56;0.33
PATR_ATIVOS;0.46;0.46;0.48;0.50;0.50;0.56
PASSIVOS_ATIVOS;0.53;0.54;0.50;0.56;0.49;0.43
LIQ_CORRENTE;4.46;2.43;2.45;3.61;3.05;4.01
CAGR_RECEITA_5A;19.28;19.24;14.31;15.07;-6.61;23.49
CAGR_LUCRO_5A;-2.47;14.80;8.98;11.18;-9.24;46.32
