Indicador;Atual;2024;2023;2022;2021;2020
PL;8.16;6.57;8.06;6.26;6.11;12.59
PSR;15.79;11.79;14.71;10.08;9.12;15.11
PVP;1.40;1.07;1.31;1.18;1.13;1.55
DY;15.34;7.54;5.64;7.16;4.80;6.27
PAYOUT;127.57;60.80;41.13;33.54;22.22;67.22
MARGEM_LIQ;193.63;179.45;182.39;161.14;149.33;120.00
MARGEM_BRUTA;23.52;29.78;32.20;33.88;35.18;31.50
MARGEM_EBIT;228.94;213.95;207.04;193.54;169.14;142.02
EV_EBITDA;7.17;5.78;7.30;5.65;5.72;10.98
EV_EBIT;7.68;6.21;7.91;5.96;6.03;11.87
P_EBITDA;6.90;5.51;7.10;5.21;5.39;10.64
P_EBIT;7.39;5.92;7.70;5.50;5.69;11.50
P_ATIVO;-1.25;-0.95;-1.17;-1.01;-0.98;-1.38
P_CAP_GIRO;24.64;14.40;13.82;19.75;18.89;20.68
VPA;8.24;8.23;7.92;7.30;7.27;6.64
LPA;1.42;1.34;1.29;1.37;1.35;0.82
GIRO_ATIVOS;0.07;0.07;0.07;0.09;0.10;0.08
ROE;17.22;16.34;16.23;18.78;18.52;12.30
ROIC;17.04;16.00;14.84;17.88;17.45;11.95
ROA;14.11;12.99;13.27;14.65;15.46;10.12
DIV_LIQ_EBITDA;0.23;0.24;0.20;0.34;0.25;0.16
DIV_LIQ_EBIT;0.25;0.25;0.22;0.36;0.27;0.17
DIV_BRUTA_PATR;0.10;0.12;0.13;0.17;0.13;0.10
PATR_ATIVOS;0.81;0.79;0.79;0.75;0.77;0.79
PASSIVOS_ATIVOS;0.15;0.17;0.17;0.21;0.19;0.16
LIQ_CORRENTE;2.18;2.17;2.64;1.59;1.68;2.15
CAGR_RECEITA_5A;6.92;10.46;6.55;11.30;11.75;3.78
CAGR_LUCRO_5A;16.85;7.09;8.18;10.99;10.16;-3.97
