Indicador;Atual;2024;2023;2022;2021;2020
PL;9.58;7.28;9.99;8.19;7.62;16.29
PSR;1.08;0.89;1.06;0.86;1.04;1.77
PVP;1.95;1.35;1.74;1.45;1.30;2.08
DY;0.1207;0.0785;0.0370;0.0407;0.0434;0.0412
PAYOUT;0.7030;0.5558;0.3496;0.2610;0.2558;0.6578
MARGEM_LIQ;0.1126;0.1225;0.1057;0.1048;0.1368;0.1087
MARGEM_BRUTA;0.3481;0.4048;0.3976;0.4078;0.6458;0.5767
MARGEM_EBIT;0.1269;0.1418;0.1267;0.1325;0.2158;0.0301
MARGEM_EBITDA;;;;;;
EV_EBITDA;;;;;;
EV_EBIT;8.14;5.89;7.69;6.07;4.61;55.35
P_EBITDA;;;;;;
P_EBIT;8.50;6.29;8.33;6.48;4.83;58.86
P_ATIVO;0.14;0.10;0.13;0.10;0.10;0.15
P_CAP_GIRO;0.76;0.57;-1.37;6.88;4.58;6.66
P_ATIVO_CIRC_LIQ;-2.28;-1.65;-0.14;-0.11;-0.10;-0.16
VPA;20.08;22.74;19.54;17.26;16.16;15.19
LPA;4.09;4.22;3.40;3.05;2.75;1.94
GIRO_ATIVOS;0.13;0.12;0.12;0.12;0.09;0.09
ROE;0.2037;0.1857;0.1741;0.1768;0.1701;0.1279
ROIC;0.2086;0.1904;0.1781;0.1830;0.1804;-0.0312
ROA;0.0151;0.0148;0.0133;0.0132;0.0137;0.0075
PATR_ATIVOS;0.07;0.08;0.07;0.07;0.08;0.07
PASSIVOS_ATIVOS;0.92;0.92;0.92;0.04;0.03;0.04
LIQ_CORRENTE;1.25;1.24;0.40;;;
CAGR_RECEITA_5A;0.1748;0.1168;0.1899;0.1363;0.0226;0.0604
CAGR_LUCRO_5A;0.2437;0.0866;0.0573;0.0576;0.0521;-0.1045
