Indicador;Atual;2024;2023;2022;2021;2020
PL;4.19;2.92;8.39;5.21;3.79;8.27
PSR;2.77;1.55;2.38;1.80;1.89;4.55
PVP;0.86;0.46;0.79;0.70;0.85;1.42
DY;4.85;10.13;8.11;4.16;7.06;1.87
PAYOUT;19.68;29.55;63.34;21.66;26.74;24.24
MARGEM_LIQ;65.96;53.14;28.40;34.51;49.99;54.99
MARGEM_BRUTA;61.76;57.11;59.13;59.65;69.44;69.23
MARGEM_EBIT;96.74;80.69;61.62;50.08;58.40;71.81
EV_EBITDA;4.72;4.21;6.53;5.83;4.18;6.96
EV_EBIT;4.92;4.46;6.97;6.23;4.40;7.16
P_EBITDA;2.86;1.92;3.87;3.59;3.24;6.33
P_EBIT;2.98;2.04;4.12;3.83;3.41;6.52
P_ATIVO;-0.52;-0.27;-0.45;-0.48;-0.60;-0.98
P_CAP_GIRO;1.59;1.39;2.59;1.38;3.17;6.81
VPA;9.23;7.95;7.06;7.18;6.55;5.50
LPA;1.90;1.25;0.66;0.96;1.47;0.94
GIRO_ATIVOS;0.13;0.12;0.14;0.18;0.24;0.16
ROE;20.57;15.78;9.41;13.42;22.48;17.17
ROIC;13.35;11.01;8.71;10.20;17.06;13.24
ROA;8.31;6.48;4.49;6.12;11.67;8.77
DIV_LIQ_EBITDA;1.86;2.28;2.67;2.24;0.94;0.63
DIV_LIQ_EBIT;1.94;2.42;2.85;2.39;0.99;0.64
DIV_BRUTA_PATR;0.91;0.83;0.68;0.63;0.44;0.42
PATR_ATIVOS;0.40;0.41;0.43;0.47;0.53;0.51
PASSIVOS_ATIVOS;0.57;0.56;0.53;0.50;0.46;0.47
LIQ_CORRENTE;2.80;1.75;2.18;4.21;2.42;1.72
CAGR_RECEITA_5A;10.87;20.35;26.82;39.82;39.13;12.87
CAGR_LUCRO_5A;15.29;21.40;20.56;42.24;;
