Indicador;Atual;2024;2023;2022;2021;2020
PL;6.13;6.34;7.44;5.42;7.16;23.79
PSR;0.80;0.89;0.91;0.45;0.75;0.69
PVP;1.65;1.89;1.71;0.80;0.90;0.97
DY;19.57;7.99;4.71;5.02;3.51;3.24
PAYOUT;108.73;57.81;39.45;20.51;4.70;85.37
MARGEM_LIQ;13.08;14.00;12.21;8.29;10.48;2.89
MARGEM_BRUTA;25.19;24.80;23.02;15.32;10.18;16.59
MARGEM_EBIT;16.84;18.91;14.17;7.89;9.08;8.41
EV_EBITDA;5.49;5.00;6.87;8.19;10.86;11.30
EV_EBIT;6.12;5.58;8.12;13.16;15.14;19.78
P_EBITDA;4.76;4.69;6.41;5.70;8.26;8.18
P_EBIT;5.31;5.23;7.58;9.17;11.51;14.33
P_ATIVO;-1.95;-2.02;-1.93;-0.75;-0.80;-0.92
P_CAP_GIRO;2.56;2.95;2.50;1.31;1.96;1.70
VPA;3.91;3.90;4.12;3.54;3.37;2.96
LPA;1.05;1.16;0.95;0.52;0.43;0.12
GIRO_ATIVOS;0.94;0.91;0.84;0.73;0.53;0.61
ROE;26.93;29.88;23.02;14.75;12.62;4.07
ROIC;14.26;16.61;12.50;4.48;3.89;2.85
ROA;12.40;12.95;10.19;5.91;5.39;1.55
DIV_LIQ_EBITDA;0.82;0.71;0.93;2.80;3.14;3.27
DIV_LIQ_EBIT;0.92;0.79;1.10;4.50;4.38;5.72
DIV_BRUTA_PATR;0.73;0.81;0.68;0.78;0.80;0.80
PATR_ATIVOS;0.45;0.43;0.45;0.41;0.44;0.44
PASSIVOS_ATIVOS;0.55;0.57;0.55;0.57;0.56;0.56
LIQ_CORRENTE;1.91;1.84;2.02;1.81;1.66;1.85
CAGR_RECEITA_5A;20.59;14.78;9.75;13.49;6.33;5.56
CAGR_LUCRO_5A;67.96;41.96;33.54;39.70;10.00;0.36
