Indicador;Atual;2024;2023;2022;2021;2020
PL;5.26;10.87;8.99;8.43;31.02;0.00
PSR;0.99;1.46;2.26;3.27;5.27;0.00
PVP;0.71;1.12;1.41;2.55;2.93;0.00
DY;8.19;16.97;4.56;2.35;0.00;0.00
PAYOUT;42.60;184.55;40.99;19.80;0.00;0.00
MARGEM_LIQ;18.81;13.40;25.19;38.76;17.00;-10.71
MARGEM_BRUTA;38.58;41.15;31.90;48.44;35.82;35.20
MARGEM_EBIT;47.03;50.33;45.67;53.66;36.86;0.00
EV_EBITDA;3.05;4.18;5.27;5.46;14.15;
EV_EBIT;5.63;7.25;9.96;6.93;19.07;
P_EBITDA;2.10;2.90;4.96;6.09;14.31;
P_EBIT;3.89;5.02;9.38;7.73;19.28;
P_ATIVO;-0.50;-0.78;-1.12;-2.18;-1.49;0.00
P_CAP_GIRO;4.38;-0.85;78.14;13.12;-25.92;0.00
VPA;15.55;14.43;15.39;12.98;6.38;3.34
LPA;2.11;1.49;2.42;3.93;0.60;-0.29
GIRO_ATIVOS;0.42;0.44;0.41;0.45;0.22;0.38
ROE;13.59;10.33;15.69;30.27;9.45;-8.57
ROIC;9.17;13.60;12.17;24.34;8.72;-1.71
ROA;7.85;5.96;10.38;17.52;3.75;-4.04
DIV_LIQ_EBITDA;0.95;1.29;0.31;-0.63;-0.16;
DIV_LIQ_EBIT;1.75;2.23;0.58;-0.80;-0.22;
DIV_BRUTA_PATR;0.53;0.56;0.20;0.17;0.40;0.91
PATR_ATIVOS;0.58;0.58;0.66;0.58;0.40;0.47
PASSIVOS_ATIVOS;0.42;1.26;0.34;0.42;0.60;0.53
LIQ_CORRENTE;2.16;0.18;1.08;1.53;0.83;0.91
