Indicador;Atual;2024;2023;2022;2021;2020
PL;9.98;6.68;12.78;8.55;2.18;17.31
PSR;0.79;0.65;0.94;1.19;1.26;2.70
PVP;0.98;0.75;1.06;1.29;1.04;2.00
DY;0.0585;0.0676;0.0516;0.0795;0.0946;0.0626
PAYOUT;0.5777;0.4513;0.6590;0.6797;0.2063;1.0823
MARGEM_LIQ;0.0787;0.0974;0.0739;0.1387;0.5752;0.1562
MARGEM_BRUTA;0.3526;0.4132;0.3655;0.2014;0.3640;0.2572
MARGEM_EBIT;0.1073;0.1399;0.0929;0.1446;0.2370;0.1247
MARGEM_EBITDA;;0.0000;0.0000;0.0245;0.0493;-0.0788
EV_EBITDA;;;;48.47;24.91;-31.63
EV_EBIT;7.30;4.66;10.12;8.21;5.19;20.00
P_EBITDA;;;;48.44;25.45;-34.30
P_EBIT;7.33;4.65;10.16;8.20;5.30;21.68
P_ATIVO;0.10;0.07;0.11;0.10;0.11;0.17
P_CAP_GIRO;0.92;-0.11;-0.17;-0.13;-0.25;-0.35
P_ATIVO_CIRC_LIQ;-0.88;-0.09;-0.13;-0.11;-0.13;-0.20
VPA;33.03;31.87;30.53;21.86;28.78;22.41
LPA;3.24;3.56;2.53;3.30;13.73;2.59
GIRO_ATIVOS;0.12;0.11;0.11;0.08;0.09;0.06
ROE;0.0982;0.1119;0.0828;0.1508;0.4771;0.1156
ROIC;0.1090;0.1123;0.0830;0.1388;0.1762;-0.0034
ROA;0.0101;0.0108;0.0085;0.0116;0.0153;0.0136
PATR_ATIVOS;0.10;0.10;0.10;0.08;0.11;0.08
PASSIVOS_ATIVOS;0.90;0.96;0.90;1.08;1.09;1.08
LIQ_CORRENTE;1.13;0.25;0.23;0.14;0.23;0.26
CAGR_RECEITA_5A;0.1997;0.1292;0.1273;0.0453;0.0302;-0.0231
CAGR_LUCRO_5A;-0.0112;-0.0421;-0.0579;0.0622;0.1497;0.0647
