Indicador;Atual;2024;2023;2022;2021;2020
PL;5.36;5.24;5.87;4.53;9.67;7.89
PSR;1.65;1.23;1.40;0.92;1.11;1.64
PVP;0.97;0.78;0.91;0.59;0.74;1.13
DY;5.75;5.58;5.19;8.74;5.69;3.82
PAYOUT;21.14;28.21;28.78;29.84;49.47;99.49
MARGEM_LIQ;30.88;23.42;23.89;20.30;11.51;20.76
MARGEM_BRUTA;56.51;57.79;60.03;57.99;60.27;59.97
MARGEM_EBIT;41.85;42.88;44.93;39.22;43.74;40.30
EV_EBITDA;4.49;4.52;4.69;4.18;3.93;5.65
EV_EBIT;5.64;5.59;5.65;5.20;4.76;6.96
P_EBITDA;3.95;2.86;3.12;2.34;2.55;4.06
P_EBIT;4.97;3.53;3.76;2.92;3.08;5.00
P_ATIVO;-0.63;-1.32;-0.55;-0.37;-0.46;-0.69
P_CAP_GIRO;7.25;5.81;10.94;6.21;8.59;25.56
VPA;39.80;35.83;32.24;29.07;25.89;22.97
LPA;7.24;5.31;4.97;3.81;1.98;3.30
GIRO_ATIVOS;0.27;0.33;0.33;0.34;0.36;0.36
ROE;18.20;14.81;15.43;13.11;7.66;14.35
ROIC;11.10;10.22;11.77;10.05;12.16;11.34
ROA;8.20;7.54;7.99;6.91;8.04;7.55
DIV_LIQ_EBITDA;0.46;1.64;1.59;1.74;1.38;1.43
DIV_LIQ_EBIT;0.58;2.03;1.91;2.17;1.67;1.77
DIV_BRUTA_PATR;0.60;0.61;0.59;0.58;0.53;0.53
PATR_ATIVOS;0.46;0.53;0.52;0.53;0.53;0.53
PASSIVOS_ATIVOS;0.54;0.47;0.48;0.47;0.47;0.47
LIQ_CORRENTE;1.28;1.78;1.41;1.52;1.48;1.21
CAGR_RECEITA_5A;8.12;7.71;8.62;7.96;8.40;10.07
CAGR_LUCRO_5A;16.42;7.43;10.99;10.91;13.44;17.84
