Indicador;Atual;2024;2023;2022;2021;2020
PL;12.80;10.98;15.12;17.75;10.64;83.02
PSR;1.96;1.36;1.80;1.38;2.23;2.03
PVP;2.05;1.31;1.65;1.17;1.25;1.51
DY;12.89;7.88;5.07;4.66;3.29;3.75
PAYOUT;86.37;86.69;78.20;74.54;35.78;263.70
MARGEM_LIQ;15.30;12.39;11.90;7.76;20.99;2.44
MARGEM_BRUTA;53.44;53.26;51.62;50.51;68.23;53.69
MARGEM_EBIT;49.92;49.25;49.65;46.39;67.04;48.31
EV_EBITDA;3.64;2.55;3.52;2.99;4.62;4.85
EV_EBIT;7.83;5.81;8.82;9.46;11.63;14.39
P_EBITDA;3.92;2.76;3.62;2.97;3.33;4.20
P_EBIT;8.43;6.29;9.09;9.39;8.37;12.45
P_ATIVO;-1.19;-0.79;-0.98;-0.64;-0.91;-1.12
P_CAP_GIRO;-87.03;-210.80;-29.01;-10.77;6.57;16.61
VPA;10.54;11.04;10.88;10.62;10.50;9.69
LPA;1.68;1.32;1.19;0.70;1.24;0.18
GIRO_ATIVOS;0.46;0.45;0.43;0.38;0.28;0.41
ROE;15.98;11.94;10.90;6.58;11.78;1.82
ROIC;21.10;17.68;14.67;10.24;9.67;7.97
ROA;7.02;5.60;5.13;2.96;5.94;4.43
DIV_LIQ_EBITDA;-0.28;-0.21;-0.11;0.02;1.29;0.65
DIV_LIQ_EBIT;-0.60;-0.48;-0.27;0.07;3.25;1.94
DIV_BRUTA_PATR;0.11;0.11;0.14;0.20;0.49;0.44
PATR_ATIVOS;0.44;0.47;0.47;0.45;0.50;0.56
PASSIVOS_ATIVOS;0.56;0.53;0.53;0.55;0.50;0.44
LIQ_CORRENTE;0.96;0.99;0.89;0.79;1.45;1.25
CAGR_RECEITA_5A;8.81;7.93;7.01;5.81;-2.03;0.15
CAGR_LUCRO_5A;16.92;-2.73;2.19;6.24;31.56;-2.30
