Indicador;Atual;2024;2023;2022;2021;2020
PL;11.01;7.84;8.77;4.21;2.92;14.86
PSR;1.56;1.20;1.68;1.78;1.21;1.90
PVP;1.52;1.20;1.83;2.16;1.84;2.25
DY;10.45;9.81;7.87;8.53;18.79;2.75
PAYOUT;68.54;69.43;72.39;34.50;54.85;40.91
MARGEM_LIQ;14.15;15.34;19.20;42.35;41.56;12.81
MARGEM_BRUTA;34.81;36.25;42.32;45.17;60.45;52.73
MARGEM_EBIT;28.06;34.94;38.72;50.73;52.17;35.57
EV_EBITDA;6.66;4.34;4.97;3.87;2.39;5.46
EV_EBIT;9.37;5.64;6.13;4.92;2.58;7.78
P_EBITDA;5.55;3.44;4.35;3.51;2.33;5.35
P_EBIT;7.82;4.46;5.37;4.47;2.50;7.62
P_ATIVO;-0.84;-0.60;-0.96;-1.08;-0.95;-1.13
P_CAP_GIRO;19.75;102.27;17.90;47.29;8.85;7.79
VPA;48.06;45.55;42.07;41.22;42.39;38.82
LPA;6.65;6.96;8.80;21.13;26.71;5.89
GIRO_ATIVOS;0.44;0.42;0.46;0.50;0.58;0.44
ROE;13.84;15.28;20.91;51.27;63.01;15.16
ROIC;12.41;17.06;19.46;29.65;43.08;19.31
ROA;6.04;6.13;8.89;21.25;24.33;5.21
DIV_LIQ_EBITDA;1.11;0.90;0.62;0.36;0.07;0.11
DIV_LIQ_EBIT;1.56;1.17;0.76;0.46;0.07;0.15
DIV_BRUTA_PATR;0.45;0.46;0.35;0.35;0.40;0.44
PATR_ATIVOS;0.45;0.42;0.42;0.41;0.39;0.37
PASSIVOS_ATIVOS;0.54;0.57;0.57;0.57;0.61;0.62
LIQ_CORRENTE;1.24;1.03;1.28;1.12;1.47;1.67
CAGR_RECEITA_5A;0.46;6.75;9.12;15.85;25.25;19.52
CAGR_LUCRO_5A;3.29;9.54;40.38;55.64;;
